id,name,party,last_check,x_handle,x_last_post,bluesky_handle,bluesky_last_post,mastodon_handle,mastodon_last_post
Q60942149,Etikprövningsmyndigheten,,,,,,,,
Q6972528,Exportkreditnämnden,,2026-02-07T04:32:45.986604+00:00,eknexport,2024-05-31T09:20:31+00:00,,,,
Q47018,Fagersta kommun,,2026-02-07T04:32:45.986604+00:00,fagerstakommun,closed,,,,
Q508168,Falkenbergs kommun,,2026-02-07T04:32:45.986604+00:00,FBGskommun,2018-02-02T06:58:15+00:00,,,,
Q503214,Falköpings kommun,,,,,,,,
Q501545,Falu kommun,,,,,,,,
Q10493897,Falu tingsrätt,,,,,,,,
Q4931380,Fastighetsmäklarinspektionen,,,,,,,,
Q10494944,Fideikommissnämnden,,2026-02-07T04:32:45.986604+00:00,fideikommiss,2015-06-29T16:17:20+00:00,,,,
Q503204,Filipstads kommun,,,,,,,,
Q1774229,Finansdepartementet,,2026-02-07T04:32:45.986604+00:00,FinansdepSv,2026-01-27T13:35:33+00:00,,,,
Q5449671,Finansinspektionen,,2026-02-07T04:32:45.986604+00:00,finansinsp,2025-01-08T07:58:01+00:00,,,,
Q18386866,Finanspolitiska rådet,,2026-02-07T04:32:45.986604+00:00,finpolradet,closed,,,,
Q503180,Finspångs kommun,,2026-02-07T04:32:45.986604+00:00,FinspangSe,closed,,,,
Q33075625,Fjärde AP-fonden,,,,,,,,
Q27982,Flens kommun,,,,,,,,
Q10497349,Folke Bernadotteakademin,,2026-02-07T04:32:45.986604+00:00,FBAFolke,2025-03-06T16:00:19+00:00,,,,
Q17518896,Folkhälsomyndigheten,,2026-02-07T04:32:45.986604+00:00,Folkhalsomynd,2024-02-21T08:51:04+00:00,,,,
Q114772420,Fondtorgsnämnden,,,,,,,,
Q499385,Forshaga kommun,,,,,,,,
Q10498137,Forskarskattenämnden,,,,,,,,
Q30256613,"Forskningsrådet för hälsa, arbetsliv och välfärd",,2026-02-07T04:32:45.986604+00:00,forteforskning,2025-01-30T15:16:15+00:00,,,,
Q10497831,"Forskningsrådet för miljö, areella näringar och samhällsbyggande",,2026-02-07T04:32:45.986604+00:00,formasforsk,2024-04-29T10:02:02+00:00,,,,
Q7654686,Fortifikationsverket,,,,,,,,
Q1439258,Forum för levande historia,,2026-02-07T04:32:45.986604+00:00,levandehistoria,2024-07-12T06:05:14+00:00,,,,
Q499441,Färgelanda kommun,,2026-02-07T04:32:45.986604+00:00,Fargelanda,2015-09-15T13:09:32+00:00,,,,
Q33075406,Första AP-fonden,,,,,,,,
Q5251219,Försvarets materielverk,,2026-02-07T04:32:45.986604+00:00,fmv_sverige,closed,,,,
Q1480245,Försvarets radioanstalt,,2026-02-07T04:32:45.986604+00:00,fradioanstalt,2024-11-01T07:39:10+00:00,,,,
Q2982160,Försvarsdepartementet,,2026-02-07T04:32:45.986604+00:00,ForsvarsdepSv,2026-02-06T12:34:32+00:00,,,,
Q7654779,Försvarshögskolan,,2026-02-07T04:32:45.986604+00:00,Forsvarshogsk,2025-05-23T12:22:14+00:00,,,,
Q783911,Försvarsmakten,,2026-02-07T04:32:45.986604+00:00,Forsvarsmakten,2026-02-06T13:39:00+00:00,forsvarsmakten.se,2025-10-24T08:39:16.656Z,,
Q3372219,Försäkringskassan,,2026-02-07T04:32:45.986604+00:00,fk_media,2026-02-03T12:19:13+00:00,,,,
Q2642771,Gagnefs kommun,,,,,,,,
Q10503899,Gentekniknämnden,,2026-02-07T04:32:45.986604+00:00,genteknik1,2024-05-24T09:44:10+00:00,,,,
Q505259,Gislaveds kommun,,2026-02-07T04:32:45.986604+00:00,gislavedkommun,2022-02-03T08:11:14+00:00,,,,
Q239332,Gnesta kommun,,2026-02-07T04:32:45.986604+00:00,Gnestakommun_se,2019-09-16T09:54:05+00:00,,,,
Q509609,Gnosjö kommun,,,,,,,,
Q10507703,Gotlands tingsrätt,,,,,,,,
Q80224512,Granskningsnämnden för försvarsuppfinningar,,,,,,,,
Q503122,Grums kommun,,,,,,,,
Q503148,Grästorps kommun,,,,,,,,
Q503193,Gullspångs kommun,,2026-02-07T04:32:45.986604+00:00,Gullspngskommun,2019-11-04T20:51:14+00:00,,,,
Q1558323,Gymnastik- och idrottshögskolan,,,,,,,,
Q493815,Gällivare kommun,,,,,,,,
Q10512316,Gällivare tingsrätt,,,,,,,,
Q510010,Gävle kommun,,2026-02-07T04:32:45.986604+00:00,gavlekommun,,,,,
Q10512455,Gävle tingsrätt,,,,,,,,
Q3364776,Göta hovrätt,,,,,,,,
Q52502,Göteborgs kommun,,2026-02-07T04:32:45.986604+00:00,vartgoteborg,closed,,,,
Q10512917,Göteborgs tingsrätt,,,,,,,,
Q371522,Göteborgs universitet,,2026-02-07T04:32:45.986604+00:00,goteborgsuni,2025-02-19T13:16:30+00:00,,,,
Q511281,Götene kommun,,2026-02-07T04:32:45.986604+00:00,gotenekommun,2024-12-06T14:45:43+00:00,,,,
Q503198,Habo kommun,,2026-02-07T04:32:45.986604+00:00,Habo_kommun,,,,,
Q511407,Hagfors kommun,,,,,,,,
Q508180,Hallsbergs kommun,,,,,,,,
Q47019,Hallstahammars kommun,,,,,,,,
Q504692,Halmstads kommun,,2026-02-07T04:32:45.986604+00:00,halmstadskommun,2018-08-07T12:52:27+00:00,,,,
Q10516522,Halmstads tingsrätt,,,,,,,,
Q499359,Hammarö kommun,,,,,,,,
Q113692,Haninge kommun,,2026-02-07T04:32:45.986604+00:00,haningekommun,2023-02-16T14:41:25+00:00,,,,
Q510310,Haparanda kommun,,,,,,,,
Q10517578,Haparanda tingsrätt,,,,,,,,
Q80224515,Harpsundsnämnden,,,,,,,,
Q10518645,Havs- och vattenmyndigheten,,2026-02-07T04:32:45.986604+00:00,havochvatten,2024-10-17T12:04:11+00:00,,,,
Q516308,Heby kommun,,,,,,,,
Q507684,Hedemora kommun,,2026-02-07T04:32:45.986604+00:00,Hedemorakommun,closed,,,,
Q487648,Helsingborgs kommun,,2026-02-07T04:32:45.986604+00:00,hbgstad,2025-03-07T02:54:37+00:00,,,,
Q10520566,Helsingborgs tingsrätt,,,,,,,,
Q503111,Herrljunga kommun,,2026-02-07T04:32:45.986604+00:00,Herrljungakom,2018-07-25T11:40:24+00:00,,,,
Q428749,Hjo kommun,,,,,,,,
Q62464,Hofors kommun,,,,,,,,
Q10526700,Hovrätten för Nedre Norrland,,,,,,,,
Q10526699,Hovrätten för Västra Sverige,,,,,,,,
Q10526701,Hovrätten för Övre Norrland,,,,,,,,
Q3814567,Hovrätten över Skåne och Blekinge,,,,,,,,
Q492575,Huddinge kommun,,2026-02-07T04:32:45.986604+00:00,Huddinge_kommun,2023-06-06T16:21:24+00:00,,,,
Q29963,Hudiksvalls kommun,,2026-02-07T04:32:45.986604+00:00,HudiksKommun,2014-11-24T09:32:21+00:00,,,,
Q512002,Hultsfreds kommun,,,,,,,,
Q498477,Hylte kommun,,2026-02-07T04:32:45.986604+00:00,Hyltekommun,2017-09-26T08:35:36+00:00,,,,
Q108045099,Hyresnämnden i Göteborg,,,,,,,,
Q108045100,Hyresnämnden i Jönköping,,,,,,,,
Q108045101,Hyresnämnden i Linköping,,,,,,,,
Q108045102,Hyresnämnden i Malmö,,,,,,,,
Q108045103,Hyresnämnden i Stockholm,,,,,,,,
Q108045104,Hyresnämnden i Sundsvall,,,,,,,,
Q108045105,Hyresnämnden i Umeå,,,,,,,,
Q108045106,Hyresnämnden i Västerås,,,,,,,,
Q220881,Hällefors kommun,,2026-02-07T04:32:45.986604+00:00,MedborgplatsHfs,2013-10-22T07:26:17+00:00,,,,
Q10526865,Hälsinglands tingsrätt,,,,,,,,
Q10531505,Hälso- och sjukvårdens ansvarsnämnd,,,,,,,,
Q513421,Härjedalens kommun,,,,,,,,
Q209634,Härnösands kommun,,,,,,,,
Q500125,Härryda kommun,,2026-02-07T04:32:45.986604+00:00,Harrydakommun,2018-06-02T09:54:15+00:00,,,,
Q508125,Hässleholms kommun,,,,,,,,
Q10531831,Hässleholms tingsrätt,,,,,,,,
Q511253,Håbo kommun,,2026-02-07T04:32:45.986604+00:00,Habokommun,2019-10-31T07:46:54+00:00,,,,
Q505013,Höganäs kommun,,2026-02-07T04:32:45.986604+00:00,hoganaskommun,,,,,
Q510233,Högsby kommun,,,,,,,,
Q537526,Högskolan Dalarna,,2026-02-07T04:32:45.986604+00:00,dalauniversity,closed,,,,
Q502824,Högskolan Kristianstad,,2026-02-07T04:32:45.986604+00:00,hkr_uni,2023-04-21T11:21:24+00:00,,,,
Q7894643,Högskolan Väst,,2026-02-07T04:32:45.986604+00:00,University_West,closed,,,,
Q1622088,Högskolan i Borås,,2026-02-07T04:32:45.986604+00:00,hogskolaniboras,2024-09-25T14:33:11+00:00,,,,
Q5625923,Högskolan i Gävle,,2026-02-07T04:32:45.986604+00:00,higaktuellt,closed,,,,
Q502842,Högskolan i Halmstad,,2026-02-07T04:32:45.986604+00:00,HogskolanHstd,2023-10-31T07:17:26+00:00,,,,
Q1464114,Högskolan i Skövde,,2026-02-07T04:32:45.986604+00:00,HogskolanSkovde,2023-08-03T07:09:41+00:00,,,,
Q18290844,Högskolans avskiljandenämnd,,,,,,,,
Q741421,Högsta domstolen,,2026-02-07T04:32:45.986604+00:00,hogsta_domstol,closed,,,,
Q750632,Högsta förvaltningsdomstolen,,,,,,,,
Q504619,Hörby kommun,,2026-02-07T04:32:45.986604+00:00,Hrbykommun,2018-04-03T08:17:11+00:00,,,,
Q266401,Höörs kommun,,2026-02-07T04:32:45.986604+00:00,hoorskommun,,,,,
Q60970996,Infrastrukturdepartementet,,2026-02-07T04:32:45.986604+00:00,infradep,protected,,,,
Q10536052,Inspektionen för arbetslöshetsförsäkringen,,,,,,,,
Q10536054,Inspektionen för socialförsäkringen,,2026-02-07T04:32:45.986604+00:00,inspsf,closed,,,,
Q4411912,Inspektionen för strategiska produkter,,,,,,,,
Q10536053,Inspektionen för vård och omsorg,,,,,,,,
Q10536076,Institutet för arbetsmarknads- och utbildningspolitisk utvärdering,,2026-02-07T04:32:45.986604+00:00,ifau_se,2025-12-17T08:23:35+00:00,,,,
Q106341986,Institutet för mänskliga rättigheter,,,,,,,,
Q4356777,Institutet för rymdfysik,,2026-02-07T04:32:45.986604+00:00,irf_space,closed,,,,
Q7654721,Institutet för språk och folkminnen,,,,,,,,
Q1172261,Integritetsskyddsmyndigheten,,2026-02-07T04:32:45.986604+00:00,IMYse,closed,,,,
Q512048,Jokkmokks kommun,,,,,,,,
Q2612011,Justitiedepartementet,,2026-02-07T04:32:45.986604+00:00,Justitiedep,2026-02-06T14:04:10+00:00,,,,
Q7216254,Justitiekanslern,,2026-02-07T04:32:45.986604+00:00,justitiekansler,closed,,,,
Q107157415,Justitieombudsmannen,,2026-02-07T04:32:45.986604+00:00,JO_justitieomb,closed,,,,
Q60970301,Jämställdhetsmyndigheten,,2026-02-07T04:32:45.986604+00:00,jamy_sverige,2022-11-15T15:26:09+00:00,,,,
Q301259,Järfälla kommun,,2026-02-07T04:32:45.986604+00:00,Jarfalla_kommun,2021-12-15T06:49:24+00:00,,,,
Q504689,Jönköpings kommun,,2026-02-07T04:32:45.986604+00:00,jkpg_kommun,2023-03-29T17:00:04+00:00,,,,
Q10542135,Jönköpings tingsrätt,,,,,,,,
Q117091,Kalix kommun,,2026-02-07T04:32:45.986604+00:00,kalixkommun,closed,,,,
Q508153,Kalmar kommun,,,,,,,,
Q10542874,Kalmar tingsrätt,,,,,,,,
Q5495902,Kammarkollegiet,,,,,,,,
Q10543164,Kammarrätten i Göteborg,,,,,,,,
Q10543165,Kammarrätten i Jönköping,,,,,,,,
Q10543166,Kammarrätten i Stockholm,,,,,,,,
Q10543167,Kammarrätten i Sundsvall,,,,,,,,
Q499435,Karlsborgs kommun,,,,,,,,
Q510223,Karlshamns kommun,,2026-02-07T04:32:45.986604+00:00,karlshamnskmn,2023-01-23T08:06:28+00:00,,,,
Q509634,Karlskoga kommun,,,,,,,,
Q1128384,Karlskrona kommun,,,,,,,,
Q498453,Karlstads kommun,,2026-02-07T04:32:45.986604+00:00,KarlstadKommun,2022-11-21T05:56:12+00:00,,,,
Q1858061,Karlstads universitet,,2026-02-07T04:32:45.986604+00:00,KAU,2023-09-27T06:18:30+00:00,,,,
Q219564,Karolinska Institutet,,2026-02-07T04:32:45.986604+00:00,karolinskainst,2025-02-10T13:39:59+00:00,,,,
Q508140,Katrineholms kommun,,2026-02-07T04:32:45.986604+00:00,Katrineholm_se,closed,,,,
Q10544771,Kemikalieinspektionen,,,,,,,,
